Date,Site,ppt
7/23/17 8:00,F,4.9958
7/23/17 12:00,F,4.9941
7/23/17 16:00,F,4.9932
7/23/17 20:00,F,4.9952
7/24/17 0:00,F,4.9973
7/24/17 4:00,F,4.9947
7/24/17 8:00,F,4.9945
7/24/17 12:00,F,4.9941
7/24/17 16:00,F,4.9923
7/24/17 20:00,F,4.9936
7/25/17 0:00,F,4.9982
7/25/17 4:00,F,4.9916
7/25/17 8:00,F,4.9896
7/25/17 12:00,F,4.9905
7/25/17 16:00,F,4.9933
7/25/17 20:00,F,4.9912
7/26/17 0:00,F,4.9907
7/26/17 4:00,F,4.9935
7/26/17 8:00,F,4.9928
7/26/17 12:00,F,4.9937
7/26/17 16:00,F,4.9952
7/26/17 20:00,F,4.9932
7/27/17 0:00,F,4.9933
7/27/17 4:00,F,4.9935
7/27/17 8:00,F,4.9959
7/27/17 12:00,F,4.9937
7/27/17 16:00,F,5.0006
7/27/17 20:00,F,5.0091
7/28/17 0:00,F,5.0056
7/28/17 4:00,F,5.0028
7/28/17 8:00,F,4.9974
7/28/17 12:00,F,4.9948
7/28/17 16:00,F,5.0046
7/28/17 20:00,F,5.0061
7/29/17 0:00,F,5.0044
7/29/17 4:00,F,5.0012
7/29/17 8:00,F,5.0054
7/29/17 12:00,F,5.0011
7/29/17 16:00,F,4.9974
7/29/17 20:00,F,4.9978
7/30/17 0:00,F,5.0079
7/30/17 4:00,F,5.0282
7/30/17 8:00,F,5.0442
7/30/17 12:00,F,5.0403
7/30/17 16:00,F,5.0304
7/30/17 20:00,F,5.034
7/31/17 0:00,F,5.0353
7/31/17 4:00,F,5.0732
7/31/17 8:00,F,5.058
7/31/17 12:00,F,5.0737
7/31/17 16:00,F,5.0666
7/31/17 20:00,F,5.0679
8/1/17 0:00,F,5.0777
8/1/17 4:00,F,5.0779
8/1/17 8:00,F,5.0756
8/1/17 12:00,F,5.0713
8/1/17 16:00,F,5.069
8/1/17 20:00,F,5.0705
8/2/17 0:00,F,5.0724
8/2/17 4:00,F,5.0688
8/2/17 8:00,F,5.0613
8/2/17 12:00,F,5.0565
8/2/17 16:00,F,5.0525
8/2/17 20:00,F,5.0542
8/3/17 0:00,F,5.0588
8/3/17 4:00,F,5.0585
8/3/17 8:00,F,5.061
8/3/17 12:00,F,5.0612
8/3/17 16:00,F,5.056
8/3/17 20:00,F,5.0726
8/4/17 0:00,F,5.0818
8/4/17 4:00,F,5.0854
8/4/17 8:00,F,5.0887
8/4/17 12:00,F,5.093
8/4/17 16:00,F,5.0952
8/4/17 20:00,F,5.0992
8/5/17 0:00,F,5.1013
8/5/17 4:00,F,5.0978
8/5/17 8:00,F,5.0964
8/5/17 12:00,F,5.0928
8/5/17 16:00,F,5.092
8/5/17 20:00,F,5.0909
8/6/17 0:00,F,5.093
8/6/17 4:00,F,5.1096
8/6/17 8:00,F,5.1147
8/6/17 12:00,F,5.1072
8/6/17 16:00,F,5.1014
8/6/17 20:00,F,5.0981
8/7/17 0:00,F,5.0936
8/7/17 4:00,F,5.09
8/7/17 8:00,F,5.0892
8/7/17 12:00,F,5.0844
8/7/17 16:00,F,5.086
8/7/17 20:00,F,5.0872
8/8/17 0:00,F,5.0857
8/8/17 4:00,F,5.0873
8/8/17 8:00,F,5.101
8/8/17 12:00,F,5.0996
8/8/17 16:00,F,5.092
8/8/17 20:00,F,5.0973
8/9/17 0:00,F,5.0979
8/9/17 4:00,F,5.0942
8/9/17 8:00,F,5.0883
8/9/17 12:00,F,5.0837
8/9/17 16:00,F,5.0809
8/9/17 20:00,F,5.0837
8/10/17 0:00,F,5.0863
8/10/17 4:00,F,5.0842
8/10/17 8:00,F,5.082
8/10/17 12:00,F,5.0792
8/10/17 16:00,F,5.0798
8/10/17 20:00,F,5.0818
8/11/17 0:00,F,5.0809
8/11/17 4:00,F,5.0813
8/11/17 8:00,F,5.0798
8/11/17 12:00,F,5.0787
8/11/17 16:00,F,5.0787
8/11/17 20:00,F,5.0808
8/12/17 0:00,F,5.0788
8/12/17 4:00,F,5.0759
8/12/17 8:00,F,5.0753
8/12/17 12:00,F,5.0706
8/12/17 16:00,F,5.0694
8/12/17 20:00,F,5.0718
8/13/17 0:00,F,5.0721
8/13/17 4:00,F,5.0711
8/13/17 8:00,F,5.0677
8/13/17 12:00,F,5.0665
8/13/17 16:00,F,5.0647
8/13/17 20:00,F,5.0678
8/14/17 0:00,F,5.0692
8/14/17 4:00,F,5.0671
8/14/17 8:00,F,5.0733
8/14/17 12:00,F,5.0737
8/14/17 16:00,F,5.0678
8/14/17 20:00,F,5.0666
8/15/17 0:00,F,5.068
8/15/17 4:00,F,5.0687
8/15/17 8:00,F,5.0653
8/15/17 12:00,F,5.0635
8/15/17 16:00,F,5.064
8/15/17 20:00,F,5.064
8/16/17 0:00,F,5.0643
8/16/17 4:00,F,5.0656
8/16/17 8:00,F,5.0656
8/16/17 12:00,F,5.0626
8/16/17 16:00,F,5.0626
8/16/17 20:00,F,5.0659
8/17/17 0:00,F,5.0687
8/17/17 4:00,F,5.0662
8/17/17 8:00,F,5.0657
8/17/17 12:00,F,5.0661
8/17/17 16:00,F,5.0678
8/17/17 20:00,F,5.0686
8/18/17 0:00,F,5.0707
8/18/17 4:00,F,5.0703
8/18/17 8:00,F,5.0708
8/18/17 12:00,F,5.0689
8/18/17 16:00,F,5.0695
8/18/17 20:00,F,5.0758
8/19/17 0:00,F,5.0731
8/19/17 4:00,F,5.0743
8/19/17 8:00,F,5.0724
8/19/17 12:00,F,5.0721
8/19/17 16:00,F,5.0724
8/19/17 20:00,F,5.073
8/20/17 0:00,F,5.0756
8/20/17 4:00,F,5.0764
8/20/17 8:00,F,5.0763
8/20/17 12:00,F,5.0744
8/20/17 16:00,F,5.073
8/20/17 20:00,F,5.0766
8/21/17 0:00,F,5.0786
8/21/17 4:00,F,5.0798
8/21/17 8:00,F,5.0812
8/21/17 12:00,F,5.0838
8/21/17 16:00,F,5.0829
8/21/17 20:00,F,5.0917
8/22/17 0:00,F,5.092
8/22/17 4:00,F,5.0922
8/22/17 8:00,F,5.0922
8/22/17 12:00,F,5.0915
8/22/17 16:00,F,5.0938
8/22/17 20:00,F,5.0942
8/23/17 0:00,F,5.0936
8/23/17 4:00,F,5.0929
8/23/17 8:00,F,5.0884
8/23/17 12:00,F,5.0871
8/23/17 16:00,F,5.0886
8/23/17 20:00,F,5.0897
8/24/17 0:00,F,5.0879
8/24/17 4:00,F,5.0893
8/24/17 8:00,F,5.0897
8/24/17 12:00,F,5.0872
8/24/17 16:00,F,5.087
8/24/17 20:00,F,5.0883
8/25/17 0:00,F,5.087
8/25/17 4:00,F,5.087
8/25/17 8:00,F,5.0879
8/25/17 12:00,F,5.0874
8/25/17 16:00,F,5.0863
8/25/17 20:00,F,5.0884
8/26/17 0:00,F,5.0867
8/26/17 4:00,F,5.0876
8/26/17 8:00,F,5.0887
8/26/17 12:00,F,5.0881
8/26/17 16:00,F,5.0866
8/26/17 20:00,F,5.0886
8/27/17 0:00,F,5.0857
8/27/17 4:00,F,5.0861
8/27/17 8:00,F,5.0883
8/27/17 12:00,F,5.086
8/27/17 16:00,F,5.0886
8/27/17 20:00,F,5.0872
8/28/17 0:00,F,5.0871
8/28/17 4:00,F,5.0883
8/28/17 8:00,F,5.0913
8/28/17 12:00,F,5.0922
8/28/17 16:00,F,5.0906
8/28/17 20:00,F,5.0921
8/29/17 0:00,F,5.0918
8/29/17 4:00,F,5.0934
8/29/17 8:00,F,5.0908
8/29/17 12:00,F,5.0908
8/29/17 16:00,F,5.0902
8/29/17 20:00,F,5.0913
8/30/17 0:00,F,5.0907
8/30/17 4:00,F,5.0928
8/30/17 8:00,F,5.0939
8/30/17 12:00,F,5.0951
8/30/17 16:00,F,5.0947
