Site,Number,Treatment,Spp,TIME_1,STATUS_1,TIME_2,STATUS_2,TIME_F,STATUS_F
M,11,CC,IF,121,1,88,1,449,1
M,11,CC,BH,5,2,0,2,5,2
M,11,CC,PV,34,2,88,1,122,2
M,11,CC,PA,121,1,88,1,449,1
M,11,CG,IF,121,1,88,1,449,1
M,11,CG,BH,5,2,0,2,5,2
M,11,CG,PV,26,2,88,1,114,2
M,11,CG,PA,121,1,88,1,449,1
M,12,CT,IF,121,1,88,1,449,1
M,12,CT,BH,81,2,0,2,81,2
M,12,CT,PV,121,1,88,1,449,1
M,12,CT,PA,121,1,59,2,420,2
M,12,CC,IF,121,1,88,1,449,1
M,12,CC,BH,14,2,0,2,14,2
M,12,CC,PV,121,1,59,2,420,2
M,12,CC,PA,121,1,88,1,449,1
M,12,CG,IF,121,1,88,1,449,1
M,12,CG,BH,14,2,0,2,14,2
M,12,CG,PV,26,2,0,2,26,2
M,12,CG,PA,121,1,88,1,449,1
M,13,CT,IF,121,1,0,2,241,2
M,13,CT,BH,26,2,0,2,26,2
M,13,CT,PV,5,2,0,2,5,2
M,13,CT,PA,41,2,0,2,41,2
M,13,CC,IF,121,1,88,1,449,1
M,13,CC,BH,26,2,0,2,26,2
M,13,CC,PV,121,1,88,1,449,1
M,13,CC,PA,20,2,0,2,20,2
M,13,CG,IF,121,1,88,1,449,1
M,13,CG,BH,121,1,0,2,241,2
M,13,CG,PV,120,2,12,2,132,2
M,13,CG,PA,121,1,0,2,241,2
M,14,CT,IF,121,1,88,1,449,1
M,14,CT,BH,14,2,0,2,14,2
M,14,CT,PV,41,2,0,2,41,2
M,14,CT,PA,121,1,88,1,449,1
M,14,CC,IF,121,1,88,1,449,1
M,14,CC,BH,121,1,0,2,241,2
M,14,CC,PV,81,2,19,2,100,2
M,14,CC,PA,121,1,88,1,449,1
M,14,CG,IF,121,1,88,1,449,1
M,14,CG,BH,81,2,0,2,81,2
M,14,CG,PV,121,1,88,1,449,1
M,14,CG,PA,121,1,88,1,449,1
M,15,CT,IF,121,1,88,1,449,1
M,15,CT,BH,26,2,0,2,26,2
M,15,CT,PV,121,1,88,1,449,1
M,15,CT,PA,121,1,19,2,380,2
M,15,CC,IF,121,1,88,1,449,1
M,15,CC,BH,26,2,0,2,26,2
M,15,CC,PV,34,2,19,2,53,2
M,15,CC,PA,121,1,88,1,449,1
M,15,CG,IF,121,1,88,1,449,1
M,15,CG,BH,48,2,0,2,48,2
M,15,CG,PV,121,1,88,1,449,1
M,15,CG,PA,121,1,88,1,449,1
M,16,CT,IF,121,1,88,1,449,1
M,16,CT,BH,56,2,88,1,144,2
M,16,CT,PV,121,1,88,1,449,1
M,16,CT,PA,121,1,88,1,449,1
M,16,CC,IF,121,1,88,1,449,1
M,16,CC,BH,26,2,0,2,26,2
M,16,CC,PV,34,2,88,1,122,2
M,16,CC,PA,121,1,88,1,449,1
M,16,CG,IF,121,1,88,1,449,1
M,16,CG,BH,120,2,88,1,208,2
M,16,CG,PV,121,1,88,1,449,1
M,16,CG,PA,121,1,88,1,449,1
M,17,CT,IF,121,1,88,1,449,1
M,17,CT,BH,121,1,88,1,449,1
M,17,CT,PV,121,1,88,1,449,1
